fit_scheme,num_demos,layer_band,median_cosine,mean_cosine,min_cosine,max_cosine,n_layers_in_band
global,50,0-10,0.9868028976437744,0.9852790644000653,0.9632392999609336,0.9980069149915833,11
global,50,18-31,0.8754863070332359,0.8714535661411065,0.8003727537632387,0.9196155668654455,14
global,100,0-10,0.9914309404766162,0.9900280724244463,0.9757711215458512,0.9978849067875801,11
global,100,18-31,0.9312734204482391,0.9312605670906053,0.8909477986848637,0.9596733721167191,14
global,200,0-10,0.9960003109251298,0.9917044304911439,0.9698694289927011,0.9991239129465489,11
global,200,18-31,0.8878156881327763,0.8851296809585378,0.8055129308573137,0.9341250223842642,14
global,500,0-10,0.9966884953290934,0.9915681108917375,0.9693388508617845,0.9977324264524992,11
global,500,18-31,0.9179288712528795,0.9144640213067499,0.849703042789386,0.951895681240569,14
perlayer,50,0-10,0.9908091057757583,0.6320638865035719,-0.9832465082860367,0.9971365226668093,11
perlayer,50,18-31,0.8891710859882527,0.8665754537316677,0.6767821226458631,0.9297900031525012,14
perlayer,100,0-10,0.9855713151798464,0.3224046639174857,-0.9913001188969864,0.9993988782341158,11
perlayer,100,18-31,0.9396151904359438,0.8585485279029385,0.43673072606285407,0.9650433611599494,14
perlayer,200,0-10,0.9961311292845724,0.8256634831387374,-0.7937152055635367,0.9991806681679566,11
perlayer,200,18-31,0.9291435608921687,0.8068006375377117,0.3153005457815168,0.9580639550068353,14
perlayer,500,0-10,0.9970646506767468,0.45309209645568366,-0.9953788747831405,0.9993895089006024,11
perlayer,500,18-31,0.884893108268165,0.813061611630015,0.21228951132973964,0.9437611276083739,14
