fit_scheme,num_demos,layer_band,median_cosine,mean_cosine,min_cosine,max_cosine,n_layers_in_band
global,50,0-10,0.9528985862382644,0.9523247386369312,0.9218532159016077,0.9703990104310758,11
global,50,18-27,0.5523287825618319,0.5661184184391411,0.4299891007012393,0.6861612464818007,10
global,100,0-10,0.9721929941666045,0.9795055315171168,0.9633021700039477,0.9968862462722542,11
global,100,18-27,0.2536062011286302,0.3273233937521394,0.16506830773099804,0.5858201549549887,10
global,200,0-10,0.959520466977678,0.9700683450057427,0.94645256210449,0.9961944929786312,11
global,200,18-27,0.2613412266792096,0.30390105296366243,0.15020020545503596,0.5164547143537733,10
global,500,0-10,0.9667099066008309,0.9781138199938405,0.9598576235988915,0.9986691963963401,11
global,500,18-27,0.2962995179524166,0.3354246381360303,0.2041329002869917,0.5207973049450396,10
perlayer,50,0-10,0.8186255015948857,0.43164160347869357,-0.8447610900026992,0.9882128264243838,11
perlayer,50,18-27,0.5784058509484578,0.598538585516274,0.4756951017773564,0.7372681812995844,10
perlayer,100,0-10,0.9780604953422639,0.8758512339533631,-0.07587657849303067,0.9986177488290661,11
perlayer,100,18-27,0.21522853361859143,0.25308338101578454,0.09749078125718712,0.4246741489406374,10
perlayer,200,0-10,0.9766401207864562,0.671718253625087,-0.31833330098202417,0.9984552115672088,11
perlayer,200,18-27,0.3266881458317665,0.3813571558585207,0.22758431978944887,0.6423475974982585,10
perlayer,500,0-10,0.9779944936890727,0.8657135817326196,-0.29782544450784443,0.9985978454787137,11
perlayer,500,18-27,0.356433550225135,0.40931225650052605,0.26564624616982735,0.6419119287727857,10
