fit_scheme,num_demos,layer,cosine_as_is,cosine_pc1_sign_aligned,deployed_pc1_sign,control_pc1_sign_as_is,control_pc1_flipped,pc1_sign_agreed_as_is
global,50,0,0.9980069149615782,0.997031881332888,-1,1,True,False
global,50,1,0.995609608880281,0.9956096088802815,-1,-1,False,True
global,50,2,0.9892623501719318,0.9884352412579943,-1,1,True,False
global,50,3,0.9868028977596356,0.9850356431681435,-1,1,True,False
global,50,4,0.9854639015506899,0.9854639015506899,-1,-1,False,True
global,50,5,0.9855332092848716,0.9855332092848713,-1,-1,False,True
global,50,6,0.9895942849078423,0.9895942849078421,-1,-1,False,True
global,50,7,0.9904738282068448,0.9904738282068449,-1,-1,False,True
global,50,8,0.9807591153085363,0.980759115308536,-1,-1,False,True
global,50,9,0.973324297661078,0.9733242976610775,-1,-1,False,True
global,50,10,0.9632392999997982,0.9632392999997981,1,1,False,True
global,50,11,0.939958556304123,0.9399585563041228,1,1,False,True
global,50,12,0.8904516276466177,0.8904516276466176,1,1,False,True
global,50,13,0.857545620459417,0.8575456204594167,1,1,False,True
global,50,14,0.7774179428286307,0.7774179428286306,1,1,False,True
global,50,15,0.7581499379691947,0.7581499379691948,1,1,False,True
global,50,16,0.7728902774892465,0.7728902774892463,1,1,False,True
global,50,17,0.7826961424130131,0.7826961424130128,1,1,False,True
global,50,18,0.8003727534770765,0.8003727534770763,1,1,False,True
global,50,19,0.8007725772584916,0.8007725772584913,1,1,False,True
global,50,20,0.8200724994188346,0.8200724994188343,1,1,False,True
global,50,21,0.8729790471957214,0.8729790471957213,1,1,False,True
global,50,22,0.8713456560327707,0.8713456560327704,1,1,False,True
global,50,23,0.8704760300734223,0.8704760300734222,1,1,False,True
global,50,24,0.8734629288633635,0.8734629288633633,1,1,False,True
global,50,25,0.8775096852419927,0.8775096852419925,1,1,False,True
global,50,26,0.8881024256273831,0.8881024256273827,1,1,False,True
global,50,27,0.8984648328061607,0.8984648328061604,1,1,False,True
global,50,28,0.8998239928643947,0.8998239928643944,1,1,False,True
global,50,29,0.8994856201838952,0.899485620183895,1,1,False,True
global,50,30,0.9078663102925518,0.9078663102925516,1,1,False,True
global,50,31,0.9196155671409265,0.9196155671409263,1,1,False,True
global,100,0,0.9978849071697748,0.9978849071697737,1,1,False,True
global,100,1,0.995482964563122,0.9954829645631219,1,1,False,True
global,100,2,0.9914309407894786,0.9914309407894786,1,1,False,True
global,100,3,0.9918503041200223,0.9918503041200217,1,1,False,True
global,100,4,0.9895854655609355,0.9895854655609354,1,1,False,True
global,100,5,0.9913790844605247,0.9913790844605245,1,1,False,True
global,100,6,0.9941809429065167,0.9941809429065167,1,1,False,True
global,100,7,0.9942320646615214,0.9942320646615211,1,1,False,True
global,100,8,0.9874492101064832,0.987449210106483,1,1,False,True
global,100,9,0.981061791128019,0.9810617911280185,1,1,False,True
global,100,10,0.9757711217913099,0.9757711217913095,1,1,False,True
global,100,11,0.9678471894462518,0.9678471894462518,1,1,False,True
global,100,12,0.9350672476886127,0.9350672476886127,1,1,False,True
global,100,13,0.9082164537643822,0.9082164537643821,1,1,False,True
global,100,14,0.863571752902517,0.8635717529025169,1,1,False,True
global,100,15,0.8521222856072068,0.8521222856072067,1,1,False,True
global,100,16,0.8660680786169732,0.8660680786169729,1,1,False,True
global,100,17,0.8762223412567753,0.876222341256775,1,1,False,True
global,100,18,0.890947798553154,0.8909477985531536,1,1,False,True
global,100,19,0.8964559671753866,0.8964559671753869,1,1,False,True
global,100,20,0.9041279981650259,0.9041279981650258,1,1,False,True
global,100,21,0.9269128399630595,0.9269128399630587,1,1,False,True
global,100,22,0.9296802390467419,0.9296802390467416,1,1,False,True
global,100,23,0.926997974502372,0.926997974502372,1,1,False,True
global,100,24,0.9298903956172144,0.9298903956172136,1,1,False,True
global,100,25,0.9326564460649891,0.9326564460649888,1,1,False,True
global,100,26,0.9409934948549846,0.9409934948549842,1,1,False,True
global,100,27,0.9474607922748078,0.9474607922748076,1,1,False,True
